dataset,dist,algo,sigma,tau,seed,peak_heap_mb,patterns,status
MUTAG,normal,pivot,0.10,0.5,42,2,29,ok
MUTAG,normal,pivot,0.10,0.5,1337,2,29,ok
MUTAG,normal,pivot,0.10,0.5,2024,2,33,ok
MUTAG,normal,pivot,0.10,0.5,31415,2,31,ok
MUTAG,normal,pivot,0.10,0.5,271828,2,33,ok
MUTAG,normal,embed-min,0.10,0.5,42,56,29,ok
MUTAG,normal,embed-min,0.10,0.5,1337,56,29,ok
MUTAG,normal,embed-min,0.10,0.5,2024,55,33,ok
MUTAG,normal,embed-min,0.10,0.5,31415,54,31,ok
MUTAG,normal,embed-min,0.10,0.5,271828,88,33,ok
MUTAG,normal,pivot,0.05,0.3,42,16,2168,ok
MUTAG,normal,pivot,0.05,0.3,1337,14,2040,ok
MUTAG,normal,pivot,0.05,0.3,2024,14,2019,ok
MUTAG,normal,pivot,0.05,0.3,31415,20,2743,ok
MUTAG,normal,pivot,0.05,0.3,271828,17,2416,ok
MUTAG,normal,embed-min,0.05,0.3,42,1087,2168,ok
MUTAG,normal,embed-min,0.05,0.3,1337,1065,2040,ok
MUTAG,normal,embed-min,0.05,0.3,2024,1015,2019,ok
MUTAG,normal,embed-min,0.05,0.3,31415,1172,2743,ok
MUTAG,normal,embed-min,0.05,0.3,271828,1132,2416,ok
PTC_MR,normal,pivot,0.10,0.3,42,3,119,ok
PTC_MR,normal,pivot,0.10,0.3,1337,3,116,ok
PTC_MR,normal,pivot,0.10,0.3,2024,3,124,ok
PTC_MR,normal,pivot,0.10,0.3,31415,3,119,ok
PTC_MR,normal,pivot,0.10,0.3,271828,3,131,ok
PTC_MR,normal,embed-min,0.10,0.3,42,87,119,ok
PTC_MR,normal,embed-min,0.10,0.3,1337,87,116,ok
PTC_MR,normal,embed-min,0.10,0.3,2024,89,124,ok
PTC_MR,normal,embed-min,0.10,0.3,31415,57,119,ok
PTC_MR,normal,embed-min,0.10,0.3,271828,90,131,ok
NCI1,normal,pivot,0.10,0.5,42,40,37,ok
NCI1,normal,pivot,0.10,0.5,1337,39,39,ok
NCI1,normal,pivot,0.10,0.5,2024,39,38,ok
NCI1,normal,pivot,0.10,0.5,31415,41,38,ok
NCI1,normal,pivot,0.10,0.5,271828,41,38,ok
NCI1,normal,embed-min,0.10,0.5,42,1158,37,ok
NCI1,normal,embed-min,0.10,0.5,1337,1223,39,ok
NCI1,normal,embed-min,0.10,0.5,2024,1216,38,ok
NCI1,normal,embed-min,0.10,0.5,31415,1363,38,ok
NCI1,normal,embed-min,0.10,0.5,271828,1259,38,ok
NCI109,normal,pivot,0.10,0.5,42,39,37,ok
NCI109,normal,pivot,0.10,0.5,1337,39,39,ok
NCI109,normal,pivot,0.10,0.5,2024,40,39,ok
NCI109,normal,pivot,0.10,0.5,31415,40,38,ok
NCI109,normal,pivot,0.10,0.5,271828,40,40,ok
NCI109,normal,embed-min,0.10,0.5,42,1175,37,ok
NCI109,normal,embed-min,0.10,0.5,1337,1244,39,ok
NCI109,normal,embed-min,0.10,0.5,2024,1382,39,ok
NCI109,normal,embed-min,0.10,0.5,31415,1241,38,ok
NCI109,normal,embed-min,0.10,0.5,271828,1245,40,ok
MUTAG,nexp,pivot,0.10,0.3,42,1,9,ok
MUTAG,nexp,pivot,0.10,0.3,1337,1,10,ok
MUTAG,nexp,pivot,0.10,0.3,2024,1,10,ok
MUTAG,nexp,pivot,0.10,0.3,31415,1,9,ok
MUTAG,nexp,pivot,0.10,0.3,271828,1,10,ok
MUTAG,nexp,embed-min,0.10,0.3,42,12,9,ok
MUTAG,nexp,embed-min,0.10,0.3,1337,12,10,ok
MUTAG,nexp,embed-min,0.10,0.3,2024,11,10,ok
MUTAG,nexp,embed-min,0.10,0.3,31415,12,9,ok
MUTAG,nexp,embed-min,0.10,0.3,271828,12,10,ok
NCI1,nexp,pivot,0.10,0.3,42,38,14,ok
NCI1,nexp,pivot,0.10,0.3,1337,38,14,ok
NCI1,nexp,pivot,0.10,0.3,2024,38,14,ok
NCI1,nexp,pivot,0.10,0.3,31415,39,14,ok
NCI1,nexp,pivot,0.10,0.3,271828,38,14,ok
NCI1,nexp,embed-min,0.10,0.3,42,508,14,ok
NCI1,nexp,embed-min,0.10,0.3,1337,465,14,ok
NCI1,nexp,embed-min,0.10,0.3,2024,470,14,ok
NCI1,nexp,embed-min,0.10,0.3,31415,465,14,ok
NCI1,nexp,embed-min,0.10,0.3,271828,469,14,ok
